Country Name,"Country Code","Time","Time Code","Rule of Law: Estimate [RL.EST]"
Liberia,"LBR","2021","YR2021","-0.925903975963593"
Libya,"LBY","2021","YR2021","-1.78426325321198"
Liechtenstein,"LIE","2021","YR2021","1.74378621578217"
Lithuania,"LTU","2021","YR2021","1.10986745357513"
Luxembourg,"LUX","2021","YR2021","1.78687965869904"
"Macao SAR, China","MAC","2021","YR2021","0.811503648757935"
Madagascar,"MDG","2021","YR2021","-0.866766154766083"
Malawi,"MWI","2021","YR2021","-0.238201826810837"
Malaysia,"MYS","2021","YR2021","0.557822585105896"
Maldives,"MDV","2021","YR2021","-0.171864733099937"
Mali,"MLI","2021","YR2021","-0.902032434940338"
Malta,"MLT","2021","YR2021","0.864450693130493"
Marshall Islands,"MHL","2021","YR2021","0.240014657378197"
Martinique,"MTQ","2021","YR2021","0.69535356760025"
Mauritania,"MRT","2021","YR2021","-0.670558989048004"
Mauritius,"MUS","2021","YR2021","0.873426914215088"
Mexico,"MEX","2021","YR2021","-0.799713492393494"
"Micronesia, Fed. Sts.","FSM","2021","YR2021","0.520998060703278"
Moldova,"MDA","2021","YR2021","-0.331918448209763"
Monaco,"MCO","2021","YR2021","NA"
Mongolia,"MNG","2021","YR2021","-0.225342378020287"
Montenegro,"MNE","2021","YR2021","-0.0590879768133163"
Morocco,"MAR","2021","YR2021","-0.253220349550247"
Mozambique,"MOZ","2021","YR2021","-1.03502357006073"
Myanmar,"MMR","2021","YR2021","-1.45617258548737"
Namibia,"NAM","2021","YR2021","0.362279295921326"
Nauru,"NRU","2021","YR2021","-0.777099788188934"
Nepal,"NPL","2021","YR2021","-0.46663436293602"
Netherlands,"NLD","2021","YR2021","1.73934757709503"
Netherlands Antilles,"ANT","2021","YR2021","NA"
New Zealand,"NZL","2021","YR2021","1.81831800937653"
Nicaragua,"NIC","2021","YR2021","-1.355992436409"
Niger,"NER","2021","YR2021","-0.404807776212692"
Nigeria,"NGA","2021","YR2021","-0.855664014816284"
Niue,"NIU","2021","YR2021","NA"
North Macedonia,"MKD","2021","YR2021","-0.0758878961205482"
Norway,"NOR","2021","YR2021","1.94985139369965"
Oman,"OMN","2021","YR2021","0.405818223953247"
Pakistan,"PAK","2021","YR2021","-0.637021720409393"
Palau,"PLW","2021","YR2021","-0.161713927984238"
